DPA_PARROQ,DPA_DESPAR,altura_mean,pendiente_mean,distancia_rios,precipitaciones_mean,DPA_DESPRO,DPA_DESCAN,riesgo_inundacion,Densidad Poblacional,rango_altitudinal,riesgo_inundacion_cod,riesgo_predicho,probabilidad_riesgo_alto
010150,CUENCA,2548.79062868343,89.4289213755952,1110.91726947353,73.1195661900407,AZUAY,CUENCA,Nulo,5.044,532,3,Nulo,0.01
010151,BANOS,3492.72501716709,89.9028874554872,819.428419587714,78.6236215600827,AZUAY,CUENCA,Bajo,87.0,1567,1,Nulo,0.01
010152,CUMBE,3006.11268566232,89.977972747943,1149.32361150252,65.1154010526596,AZUAY,CUENCA,Bajo,86.0,857,1,Nulo,0.01
010153,CHAUCHA,2838.91553289963,89.968788191216,264.851845155578,79.6514756286029,AZUAY,CUENCA,Bajo,5.0,4284,1,Bajo,0.07
010154,CHECA,3594.61037160051,89.5138993419702,474.810431928856,93.0380002726679,AZUAY,CUENCA,Nulo,29.0,1673,3,Bajo,0.0
010155,CHIQUINTAD,3506.36820300363,89.8229661610864,122.966485517318,88.1713195800781,AZUAY,CUENCA,Medio,61.0,1750,2,Bajo,0.01
010156,LLACAO,2545.10758440323,89.9967398083442,1591.83544996079,73.0799457005092,AZUAY,CUENCA,Medio,468.0,500,2,Medio,0.09
010157,MOLLETURO,2136.18416240365,89.8633181400943,456.516326388908,86.941947248181,AZUAY,CUENCA,Alto,7.0,4503,0,Bajo,0.25
010158,NULTI,2528.17588398469,89.9777791434373,896.37688061628,67.3915408906483,AZUAY,CUENCA,Medio,248.0,506,2,Nulo,0.03
010159,OCTAVIO CORDERO PALACIOS,2947.33172639622,89.9801705617004,674.336932932981,76.5702018737793,AZUAY,CUENCA,Nulo,120.0,1019,3,Nulo,0.01
010160,PACCHA,2642.78005633803,89.9865837909537,889.037483083812,73.8427803733132,AZUAY,CUENCA,Nulo,336.0,627,3,Nulo,0.05
010161,QUINGEO,2934.71329318377,89.9931057880964,1518.28723966356,70.7927671797732,AZUAY,CUENCA,Bajo,63.0,679,1,Nulo,0.01
010162,RICAURTE,2549.64758789861,89.9010768696995,391.596415979492,75.1658075506037,AZUAY,CUENCA,Alto,1.932,371,0,Nulo,0.01
010163,SAN JOAQUIN,3622.35649462595,89.8885517197204,1339.72716583827,76.4146681967236,AZUAY,CUENCA,Medio,53.0,1730,2,Nulo,0.0
010164,SANTA ANA,2816.56925415356,89.9939447116383,790.369071181564,74.1258405412946,AZUAY,CUENCA,Medio,156.0,855,2,Nulo,0.02
010165,SAYAUSI,3744.91322887373,89.6464673629516,401.437914389405,80.4894623967399,AZUAY,CUENCA,Medio,37.0,1733,2,Bajo,0.0
010166,SIDCAY,2685.85439512109,89.9857928893968,682.178774184292,72.8688301673302,AZUAY,CUENCA,Bajo,312.0,422,1,Nulo,0.03
010167,SININCAY,3050.10810371124,89.9740120730766,508.258347789794,78.2737186138447,AZUAY,CUENCA,Medio,573.0,1364,2,Medio,0.12
010168,TARQUI,2937.93392921167,89.985177838037,924.1351720323,76.0441284799963,AZUAY,CUENCA,Medio,94.0,1296,2,Nulo,0.01
010169,TURI,2712.89156803107,89.9810306510351,824.362462499461,77.0806911468506,AZUAY,CUENCA,Medio,537.0,517,2,Medio,0.1
010170,VALLE,2697.06302296219,89.9922184058317,846.001955267797,75.5922673543294,AZUAY,CUENCA,Medio,784.0,613,2,Medio,0.27
010171,VICTORIA DEL PORTETE,3127.88837875365,89.9754162799838,265.724496357516,75.3488784601659,AZUAY,CUENCA,Nulo,34.0,1291,3,Nulo,0.01
010250,GIRON,2707.18282371857,89.9926460020442,1190.79395837068,74.7131874523862,AZUAY,GIRON,Alto,35.0,2442,0,Bajo,0.03
010251,LA ASUNCION,1934.99551466156,89.9928081427103,1481.21534340182,61.3043287489149,AZUAY,GIRON,Nulo,50.0,2217,3,Nulo,0.1
010252,SAN GERARDO,2999.0939350388,89.9741843264233,587.424956454935,78.1659212810237,AZUAY,GIRON,Nulo,21.0,1748,3,Bajo,0.01
010350,GUALACEO,2565.49641359397,89.9427259221267,1313.61431909088,68.4885715035831,AZUAY,GUALACEO,Alto,531.0,1029,0,Medio,0.16
010352,DANIEL CORDOVA TORAL,3029.13000806031,89.9979309751968,230.624189286073,79.7283463478088,AZUAY,GUALACEO,Nulo,77.0,1126,3,Nulo,0.01
010353,JADAN,2838.53772630362,89.9939417515277,1208.33243344025,70.4475848175759,AZUAY,GUALACEO,Nulo,87.0,977,3,Nulo,0.01
010354,MARIANO MORENO,2944.04027669866,89.9929225727258,140.771219301301,79.2394040015436,AZUAY,GUALACEO,Bajo,66.0,1241,1,Nulo,0.01
010356,REMIGIO CRESPO TORAL,2910.36763066634,89.9921711580807,294.901746467803,77.0770896275838,AZUAY,GUALACEO,Nulo,45.0,1388,3,Bajo,0.01
010357,SAN JUAN,2742.41711754721,89.9976572787056,2721.59254275582,74.317253112793,AZUAY,GUALACEO,Bajo,131.0,1009,1,Nulo,0.02
010358,ZHIDMAD,2912.17031437431,89.9930227680404,2951.93255833294,74.638978172751,AZUAY,GUALACEO,Nulo,73.0,787,3,Nulo,0.01
010359,LUIS CORDERO VEGA,3207.56342167747,89.9205763193025,1387.81632316483,82.1276401584431,AZUAY,GUALACEO,Bajo,36.0,1583,1,Nulo,0.01
010360,SIMON BOLIVAR,2496.59064141334,89.9833998733999,1034.4838889701,74.0078938802083,AZUAY,GUALACEO,Nulo,61.0,647,3,Nulo,0.01
010450,NABON,3020.95975931389,89.9937948207217,215.865378791541,68.8907158653143,AZUAY,NABON,Bajo,37.0,1459,1,Bajo,0.01
010451,COCHAPATA,2722.8895148616,89.9892094188091,3641.4045123258,64.9723878904831,AZUAY,NABON,Bajo,27.0,1671,1,Nulo,0.01
010452,EL PROGRESO,2171.55437084507,89.9951059371298,3352.00818772841,63.7269213540213,AZUAY,NABON,Nulo,9.0,2180,3,Nulo,0.05
010453,LAS NIEVES,2866.02669189057,89.9878951999137,2564.46079000787,66.7102683946198,AZUAY,NABON,Nulo,11.0,1606,3,Nulo,0.01
010550,PAUTE,2659.3028642277,89.959885251828,1671.2098231737,75.084592686143,AZUAY,PAUTE,Bajo,217.0,1112,1,Nulo,0.03
010552,BULAN,2931.35449774377,89.9981526318124,72.9784701010957,95.0780598958333,AZUAY,PAUTE,Nulo,49.0,1215,3,Bajo,0.01
010553,CHICAN,2606.09631695132,89.9836652748424,1.05043680753191,69.1134523664202,AZUAY,PAUTE,Nulo,138.0,975,3,Nulo,0.02
010554,EL CABO,2620.94425901202,89.9170390859306,1528.69506966718,72.697863528603,AZUAY,PAUTE,Nulo,148.0,906,3,Nulo,0.02
010556,GUARAINAG,2743.80674677254,89.9984459080008,275.371407792376,101.681797888971,AZUAY,PAUTE,Nulo,19.0,1651,3,Bajo,0.02
